competitionId,canton
GenevaOpen2008,Geneve
SwissOpen2009,Vaud
SwissOpen2014,St. Gallen
SwissScienceOpen2014,Zurich
SwissNationals2015,St. Gallen
PalaghiaccioOpen2015,Ticino
SwissScienceOpen2015,Zurich
MuseeduJeu2015,Vaud
WurfelaimDrachenascht2015,Bern
SCCOpen2015,Ticino
ChottuSkips2016,Lucerne
WilerWurfelfest2016,St. Gallen
OFFA2016,St. Gallen
ZurichOpen2016,Zurich
SwissNationals2016,Zurich
Museesuissedujeu2016,Vaud
CitedesJeux2016,Vaud
WiehnachtswurfelazBarn2016,Bern
SwisscubingcupI2017,Ticino
SwisscubingCupII2017,Lucerne
WilerWurfelfest2017,St. Gallen
SwisscubingCupIII2017,Wallis
TicinoOpen2017,Ticino
SwissOpen2017,Lucerne
SwisscubingCupFinal2017,Basel-Landschaft
ZurichOpen2017,Zurich
SwisscubingFMC2017,Vaud
SuisseToyFastFingers2017,Bern
Museesuissedujeu2017,Vaud
SwissNationals2017,Zurich
SwisscubingMentalBreakdown2018,Vaud
XlingenOpen2018,Thurgovia
SwisscubingCupI2018,Geneve
WilerWurfelfest2018,St. Gallen
SaintMauriceOpen2018,Wallis
ZurichOpen2018,Zurich
LausanneEuroQualifier2018,Vaud
HotelCube2018,Grisons
Zentralschweiz2018,Zug
SCCupII2018,Ticino
SwisscubingBBQ2018,Vaud
SwisscubingCupIII2018,Bern
SwissNationals2018,Bern
SwisscubingFMC2018,Bern
ArgoviaOpen2018,Argovia
SwissScienceOpen2018,Zurich
LesAutomnales2018,Geneve
TicinoOpen2018,Ticino
SwisscubingCupFinal2018,Lucerne
SwisscubingCupI2019,Ticino
DCityCubing2019,Zurich
Zentralschweiz2019,Schwyz
WilerWurfelfest2019,St. Gallen
SwisscubingCupII2019,Vaud
ZurichOpen2019,Zurich
SwissNationals2019,Lucerne
SwisscubingCupIII2019,Basel-Landschaft
LYNCubingDays2019,Zurich
SwisscubingCupIV2019,Neuchâtel
SwissScienceOpen2019,Zurich
SwisscubingCupV2019,Schaffhausen
XlingenOpen2019,Thurgovia
SwisscubingCupFinal2019,Zug
SwisscubingCupI2020,Ticino
BaselOpen2020,Basel-Stadt
SwisscubingCupII2020,St. Gallen
SwisscubingCupIV2020,Bern
OfflineSchwyzSaturday2021,Schwyz
OfflineSchwyzSunday2021,Schwyz
TicinoOpenSaturday2021,Ticino
TicinoOpenSunday2021,Ticino
SchwyzSideDay2021,Schwyz
LittleVillageOpen2022,Schaffhausen
SwisscubingCupI2022,Appenzell Ausserrhoden
SwisscubingCupII2022,Bern
SwisscubingCupIII2022,Ticino
SwisscubingCupIV2022,Schwyz
SwissNationals2022,Argovia
SwisscubingCupV2022,Neuchâtel
SwissScienceOpen2022,Zurich
SwisscubingCupFinale2022,Zurich
Chaeaeswuerfel2022,Bern
